"StateName","CountyName","FIPSWinner","VariableName","VariableValue","TrumpVClinton","TrumpVClintonPCT","CumTrumpVClinton"
"Iowa","Winneshiek, IA","Trump","MedianHouseholdIncome",59.096,90,0.79211406442527,1.63088348518854
"Alabama","Madison, AL","Trump","MedianHouseholdIncome",59.117,26698,16.340145297419,1.6503679664502
"Ohio","Licking, OH","Trump","MedianHouseholdIncome",59.119,23865,28.5384578589878,1.66778489450885
"Kansas","Kearny, KS","Trump","MedianHouseholdIncome",59.134,901,68.4650455927052,1.66844245378732
"Wyoming","Laramie, WY","Trump","MedianHouseholdIncome",59.147,13274,32.4001073982767,1.67812995862916
"Ohio","Shelby, OH","Trump","MedianHouseholdIncome",59.149,14347,60.208149733518,1.6886005501589
"Wisconsin","Green, WI","Clinton","MedianHouseholdIncome",59.155,-429,-2.25967869370556,1.68828746144584
"Colorado","Moffat, CO","Trump","MedianHouseholdIncome",59.173,4431,67.9080459770115,1.69152125185975
"Kansas","Grant, KS","Trump","MedianHouseholdIncome",59.218,1363,57.0531603181247,1.69251598359844
"Iowa","Tama, IA","Trump","MedianHouseholdIncome",59.226,1775,20.2810786106033,1.69381139727136
"Pennsylvania","Lancaster, PA","Trump","MedianHouseholdIncome",59.231,46821,19.1237256567769,1.72798185562601
"Florida","Clay, FL","Trump","MedianHouseholdIncome",59.244,47141,43.9268708592301,1.76238585334704
"Michigan","Midland, MI","Trump","MedianHouseholdIncome",59.248,8211,19.1953431830933,1.76837832752636
"Iowa","Delaware, IA","Trump","MedianHouseholdIncome",59.26,2737,29.6180067092306,1.77037581891947
"Vermont","Franklin, VT","Clinton","MedianHouseholdIncome",59.28,-599,-2.79762738779133,1.76993866241802
"Florida","Santa Rosa, FL","Trump","MedianHouseholdIncome",59.289,46875,52.8562085607325,1.80414853054075
"Kansas","Haskell, KS","Trump","MedianHouseholdIncome",59.356,795,58.7149187592319,1.80472872990411
"Oklahoma","Cleveland, OK","Trump","MedianHouseholdIncome",59.417,23709,21.6619460941069,1.82203180752164
"New York","Schenectady, NY","Clinton","MedianHouseholdIncome",59.432,-4794,-7.12544589774078,1.81853309588899
"Oklahoma","Kingfisher, OK","Trump","MedianHouseholdIncome",59.462,4370,71.2771162942424,1.82172236786118
"Virginia","Orange, VA","Trump","MedianHouseholdIncome",59.482,4564,26.4319221636648,1.82505322307424
"Texas","Loving, TX","Trump","MedianHouseholdIncome",59.499,54,83.0769230769231,1.82509263284232
"Nebraska","York, NE","Trump","MedianHouseholdIncome",59.5,3514,55.0697382855352,1.82765718700943
"South Dakota","Hanson, SD","Trump","MedianHouseholdIncome",59.508,1073,53.4895314057826,1.82844027369734
"Oklahoma","Beaver, OK","Trump","MedianHouseholdIncome",59.544,1817,81.0075791350869,1.82976633941209
"Missouri","Clinton, MO","Trump","MedianHouseholdIncome",59.655,4495,43.6365401417338,1.83304683769927
"Kansas","Stevens, KS","Trump","MedianHouseholdIncome",59.735,1379,72.9243786356425,1.83405324640628
"Texas","Yoakum, TX","Trump","MedianHouseholdIncome",59.752,1371,59.5310464611376,1.83505381662914
"Tennessee","Sumner, TN","Trump","MedianHouseholdIncome",59.816,31968,44.70736312146,1.85838439933095
