GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Not Hispanic or Latino,Margin of Error; Total: - Not Hispanic or Latino,Estimate; Total: - Hispanic or Latino,Margin of Error; Total: - Hispanic or Latino
0500000US06071,06071,"San Bernardino County, California",2094769,*****,1024507,*****,1070262,*****
0500000US06073,06073,"San Diego County, California",3223096,*****,2162101,*****,1060995,*****
0500000US06075,06075,"San Francisco County, California",840763,*****,712144,*****,128619,*****
0500000US06077,06077,"San Joaquin County, California",708554,*****,424386,*****,284168,*****
0500000US06079,06079,"San Luis Obispo County, California",276517,*****,216336,*****,60181,*****
0500000US06081,06081,"San Mateo County, California",748731,*****,559342,*****,189389,*****
0500000US06083,06083,"Santa Barbara County, California",435850,*****,243546,*****,192304,*****
0500000US06085,06085,"Santa Clara County, California",1868149,*****,1371075,*****,497074,*****
0500000US06087,06087,"Santa Cruz County, California",269278,*****,180676,*****,88602,*****
0500000US06089,06089,"Shasta County, California",178942,*****,162558,*****,16384,*****
0500000US06091,06091,"Sierra County, California",3021,167,2753,146,268,57
0500000US06093,06093,"Siskiyou County, California",43895,*****,38851,*****,5044,*****
0500000US06095,06095,"Solano County, California",425753,*****,318161,*****,107592,*****
0500000US06097,06097,"Sonoma County, California",495078,*****,367304,*****,127774,*****
0500000US06099,06099,"Stanislaus County, California",527367,*****,297280,*****,230087,*****
0500000US06101,06101,"Sutter County, California",95247,*****,66986,*****,28261,*****
0500000US06103,06103,"Tehama County, California",63152,*****,48339,*****,14813,*****
0500000US06105,06105,"Trinity County, California",13373,*****,12418,*****,955,*****
0500000US06107,06107,"Tulare County, California",454033,*****,170500,*****,283533,*****
0500000US06109,06109,"Tuolumne County, California",54079,*****,47940,*****,6139,*****
0500000US06111,06111,"Ventura County, California",840833,*****,491034,*****,349799,*****
0500000US06113,06113,"Yolo County, California",207320,*****,142794,*****,64526,*****
0500000US06115,06115,"Yuba County, California",73437,*****,53826,*****,19611,*****
0500000US08001,08001,"Adams County, Colorado",471206,*****,289092,*****,182114,*****
0500000US08003,08003,"Alamosa County, Colorado",16269,*****,8842,*****,7427,*****
0500000US08005,08005,"Arapahoe County, Colorado",608310,*****,494804,*****,113506,*****
0500000US08007,08007,"Archuleta County, Colorado",12174,*****,9923,*****,2251,*****
0500000US08009,08009,"Baca County, Colorado",3701,*****,3339,*****,362,*****
0500000US08011,08011,"Bent County, Colorado",5895,*****,4051,*****,1844,*****
0500000US08013,08013,"Boulder County, Colorado",310032,*****,267545,*****,42487,*****
0500000US08014,08014,"Broomfield County, Colorado",60699,*****,53474,*****,7225,*****
0500000US08015,08015,"Chaffee County, Colorado",18309,*****,16451,*****,1858,*****
0500000US08017,08017,"Cheyenne County, Colorado",2002,144,1744,154,258,94
0500000US08019,08019,"Clear Creek County, Colorado",9136,*****,8629,*****,507,*****
0500000US08021,08021,"Conejos County, Colorado",8249,*****,3765,*****,4484,*****
0500000US08023,08023,"Costilla County, Colorado",3581,*****,1275,*****,2306,*****
0500000US08025,08025,"Crowley County, Colorado",5551,*****,3877,*****,1674,*****
0500000US08027,08027,"Custer County, Colorado",4303,*****,4187,64,116,64
0500000US08029,08029,"Delta County, Colorado",30214,*****,25766,*****,4448,*****
0500000US08031,08031,"Denver County, Colorado",649654,*****,448635,*****,201019,*****
0500000US08033,08033,"Dolores County, Colorado",1862,144,1752,137,110,73
0500000US08035,08035,"Douglas County, Colorado",306974,*****,281967,*****,25007,*****
0500000US08037,08037,"Eagle County, Colorado",52576,*****,36809,*****,15767,*****
0500000US08039,08039,"Elbert County, Colorado",23855,*****,22387,*****,1468,*****
0500000US08041,08041,"El Paso County, Colorado",655024,*****,550338,*****,104686,*****
0500000US08043,08043,"Fremont County, Colorado",46809,*****,40729,*****,6080,*****
0500000US08045,08045,"Garfield County, Colorado",57076,*****,41032,*****,16044,*****
0500000US08047,08047,"Gilpin County, Colorado",5605,*****,5112,187,493,187
0500000US08049,08049,"Grand County, Colorado",14411,*****,13522,235,889,235
0500000US08051,08051,"Gunnison County, Colorado",15651,*****,14247,*****,1404,*****
0500000US08053,08053,"Hinsdale County, Colorado",874,88,863,85,11,15
0500000US08055,08055,"Huerfano County, Colorado",6502,*****,4250,*****,2252,*****
0500000US08057,08057,"Jackson County, Colorado",1335,121,1129,116,206,118
0500000US08059,08059,"Jefferson County, Colorado",552344,*****,469202,*****,83142,*****
0500000US08061,08061,"Kiowa County, Colorado",1463,121,1358,115,105,67
0500000US08063,08063,"Kit Carson County, Colorado",7980,*****,6470,*****,1510,*****
0500000US08065,08065,"Lake County, Colorado",7362,*****,4588,364,2774,364
0500000US08067,08067,"La Plata County, Colorado",53182,*****,46557,*****,6625,*****
